osm_type,osm_id,name,lat,lon,parking,access,fee
way,1097447715,,33.361654,126.361462,,,
way,1097447716,,33.361275,126.360777,,,
way,1104193234,,33.242375,126.445179,surface,customers,
way,1107267546,,33.543505,126.662446,,,
way,1107386547,,33.464801,126.837058,,,
way,1107980580,,33.526838,126.545183,,private,
way,1107980581,,33.527092,126.543781,,,
way,1113737945,함덕국민학교옛터 공영주차장,33.541848,126.668784,surface,yes,no
way,1113737969,,33.543662,126.662424,,,
way,1120246633,,33.223337,126.255573,,,
way,1121615354,,33.289156,126.589036,,,
way,1124982262,,33.371341,126.839667,,,
way,1124987095,,33.372732,126.842833,,,
way,1124987096,,33.372535,126.842740,,,
way,1124987098,,33.372939,126.842730,,,
way,1126689452,,33.479975,126.401617,,,
way,1126830010,,33.492200,126.544186,,,
way,1126830011,,33.491192,126.544799,,,
way,1126830017,,33.491631,126.544250,,,
way,1126924180,,33.492665,126.543243,,,
way,1127677057,,33.493295,126.542126,,,
way,1142429561,,33.223509,126.254385,,,
way,1142517348,,33.224585,126.254936,surface,,
way,1142597553,,33.223043,126.255569,,,
way,1142597555,,33.223006,126.256093,,,
way,1143827006,,33.222337,126.252832,,,
way,1143827007,,33.222345,126.253083,,,
way,1143827746,,33.221177,126.254670,,,
way,1143833359,,33.223256,126.256512,,,
way,1143833431,,33.225943,126.255195,,,
way,1143878685,,33.275119,126.172495,,,
way,1143902628,,33.242403,126.305077,,,
way,1143902647,,33.243725,126.303572,,,
way,1143902648,,33.243710,126.303946,,,
way,1143902649,,33.243558,126.303723,,,
way,1143912054,,33.235671,126.309211,,,
way,1143912161,,33.230138,126.308005,,,
way,1143912163,,33.230761,126.308582,,,
way,1143912182,,33.229609,126.308526,,,
way,1147260062,,33.225689,126.261104,,,
way,1147260078,,33.226541,126.261861,,,
way,1147273323,,33.513481,126.501463,,,
way,1147273325,,33.514257,126.500963,,,
way,1147273326,,33.514800,126.500867,,,
way,1147273327,,33.515173,126.501173,,,
way,1147273328,,33.514893,126.501874,,,
way,1147273329,,33.515291,126.501956,,,
way,1147273336,,33.515622,126.503898,,,
way,1147273337,,33.516053,126.503978,,,
way,1149039278,,33.357810,126.272527,surface,,
way,1149039280,,33.358123,126.272545,surface,,
way,1149319554,,33.357884,126.274377,surface,,
way,1149319607,,33.338933,126.259150,,,
way,1149319613,,33.339921,126.260732,,,
way,1149319622,,33.339716,126.261989,,,
way,1149319625,,33.340059,126.262909,,,
way,1149319627,,33.340145,126.262723,,,
way,1149319628,,33.340223,126.263047,,,
way,1149319629,,33.340338,126.262830,,,
way,1149899602,,33.496989,126.520008,surface,,
way,1149903373,,33.498705,126.519484,,,
way,1149906110,,33.499676,126.518288,,,
way,1149907998,,33.501883,126.520083,surface,,
way,1150197755,,33.496671,126.521514,,,
way,1150205859,,33.496498,126.518631,surface,,
