주차장관리번호,주차장명,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,요금정보,위도,경도
406-2-000065,시민회관 옆 공영주차장,노외,제주특별자치도 서귀포시 동홍로 35 (동홍동),제주특별자치도 서귀포시 동홍동 452-3,44,무료,33.251633,126.567538
406-2-000066,신시가지 공영주차장,노외,,제주특별자치도 서귀포시 강정동 118-8,10,무료,33.260036,126.5073823
406-2-000067,강정마을 공영주차장,노외,,제주특별자치도 서귀포시 강정동 5356-11,20,무료,33.235151,126.474661
406-2-000068,법환 노인회관 앞 공영주차장,노외,,제주특별자치도 서귀포시 법환동 1134,16,무료,33.23938649,126.509485
406-2-000069,동일다목적회관 앞 공영주차장,노외,,제주특별자치도 서귀포시 대정읍 동일리 2829-6,8,무료,33.22842744,126.2413832
406-2-000070,하모리 홍마트 북측 공영주차장,노외,,제주특별자치도 서귀포시 대정읍 하모리 2143-12,11,무료,33.220066,126.252586
406-2-000071,성산일출봉 주차장,노외,제주특별자치도 서귀포시 성산읍 일출로 284-6,제주특별자치도 서귀포시 성산읍 성산리 114-3,285,무료,33.46260347,126.935333
406-2-000072,서부종합사회복지관 남측 공영주차장,노외,,제주특별자치도 서귀포시 대정읍 하모리 1173-1,34,무료,33.223648,126.248055
406-2-000073,남원 중앙동 공영주차장,노외,,제주특별자치도 서귀포시 남원읍 남원리 141,48,무료,33.278887,126.716856
406-2-000074,동부보건소 공영주차장,노외,,제주특별자치도 서귀포시 남원읍 남원리 2490-28,22,무료,33.27542313,126.7030554
406-2-000075,섭지코지 주차장,노외,,제주특별자치도 서귀포시 성산읍 고성리 62-3,96,혼합,33.42386248,126.9290133
406-2-000076,서귀서초등학교 인근 공영주차장,노외,,제주특별자치도 서귀포시 서홍동 365-3,9,무료,33.255173,126.555879
406-2-000077,노블컨벤션 안쪽 공영주차장,노외,,제주특별자치도 서귀포시 서홍동 322-5,29,무료,33.258965,126.5582889
406-2-000078,자산오차드힐 인근 남측 공영주차장,노외,,제주특별자치도 서귀포시 서홍동 1588-10,5,무료,33.261125,126.5543492
406-2-000079,자산오차드힐 인근 북측 공영주차장,노외,,제주특별자치도 서귀포시 서홍동 1597-4,9,무료,33.261563,126.554694
406-2-000080,산방산 공영주차장,노외,,제주특별자치도 서귀포시 안덕면 사계리 166-4,28,무료,33.236268,126.3125765
406-2-000081,중문초등학교 서측 공영주차장,노외,,제주특별자치도 서귀포시 중문동 1971-2,7,무료,33.251636,126.428184
406-2-000082,중앙 공영노외1주차장,노외,제주특별자치도 서귀포시 동문동로 28 (서귀동),제주특별자치도 서귀포시 서귀동 268-17,13,혼합,33.251114,126.565451
406-2-000083,천제연폭포 공영주차장,노외,,제주특별자치도 서귀포시 중문동 2230,97,무료,33.2532067,126.418764
406-2-000084,천제연폭포 버스전용 공영주차장,노외,,제주특별자치도 서귀포시 중문동 2231,21,무료,33.25304291,126.4191565
406-2-000085,남원 비안동 공영주차장,노외,,제주특별자치도 서귀포시 남원읍 남원리 180,93,혼합,33.280062,126.7183421
406-2-000086,대륜서호 공영노외1 주차장(고근산주차장),노외,,제주특별자치도 서귀포시 서호동 1433,79,무료,33.26352191,126.5110517
406-2-000087,세한교회 서측 공영주차장,노외,,제주특별자치도 서귀포시 서홍동 1611,18,무료,33.26369535,126.554256
406-2-000088,위미출장소 옆 공영주차장,노외,제주특별자치도 서귀포시 남원읍 태위로 105,제주특별자치도 서귀포시 남원읍 위미리 2892,15,무료,33.27501048,126.6585881
406-2-000089,남원읍사무소 옆 공영주차장,노외,제주특별자치도 서귀포시 남원읍 태위로 695,제주특별자치도 서귀포시 남원읍 남원리 205-1,20,무료,33.2798959,126.720606
406-2-000090,대정하모 공영노외4주차장,노외,,제주특별자치도 서귀포시 대정읍 하모리 861,40,혼합,33.223353,126.2538151
406-2-000091,하모리 삼성의원 앞 공영주차장,노외,,제주특별자치도 서귀포시 대정읍 하모리 841-58,6,무료,33.22033253,126.2531986
406-2-000092,남원신례 공영노외1주차장,노외,,제주특별자치도 서귀포시 남원읍 신례리 1044-1,64,무료,33.288233,126.6275841
406-2-000093,대륜법환 공영노외1주차장,노외,제주특별자치도 서귀포시 이어도로 897-2 (법환동),제주특별자치도 서귀포시 법환동 1279,16,무료,33.236971,126.5109648
406-2-000094,월평마을도시재생사업 공영주차장,노외,제주특별자치도 서귀포시 월평로 40 (월평동),제주특별자치도 서귀포시 월평동 410-1,10,무료,33.24570658,126.4611258
406-2-000095,성산일출봉 주변 녹지공간 조성 주차장(1),노외,,제주특별자치도 서귀포시 성산읍 고성리 250-3,58,무료,33.450526,126.922177
406-2-000096,성산일출봉 주변 녹지공간 조성 주차장(2),노외,,제주특별자치도 서귀포시 성산읍 고성리 263,223,무료,33.455341,126.9255273
406-2-000097,남원 광지동 공영주차장,노외,,제주특별자치도 서귀포시 남원읍 남원리 1514-3,24,무료,33.28146498,126.709075
406-2-000098,산하동교차로 북측 공영주차장,노외,,제주특별자치도 서귀포시 남원읍 의귀리 964-1,15,무료,33.3020427,126.7194391
406-2-000099,태흥2리 마을회관 북측 공영주차장,노외,,제주특별자치도 서귀포시 남원읍 태흥리 567-9,6,무료,33.28814781,126.7450503
406-2-000100,성산 노외2 공영주차장,노외,,제주특별자치도 서귀포시 성산읍 성산리 399-123,33,무료,33.4589386,126.929765
406-2-000101,동광육거리 회전 공영주차장,노외,,제주특별자치도 서귀포시 안덕면 동광리 830,65,무료,33.3118701,126.3426367
406-2-000102,대정상모 공영노외1주차장,노외,,제주특별자치도 서귀포시 대정읍 상모리 3964-1,37,혼합,33.22324159,126.2563765
406-2-000103,창천리사무소 옆 공영주차장,노외,,제주특별자치도 서귀포시 안덕면 창천리 94-2,18,무료,33.2658886,126.368416
